ID,Destination,Ticket price,Accessibility,Popularity,Safety,Privacy,Trust,Sustain
T001,Bali Beach Resort,Rp 1.800.000,4.5,4.7,4.2,4.8,4.5,4.6
T002,Borobudur Temple,Rp 1.500.000,4.1,4.6,4.9,4.4,4.8,4.2
T003,Mount Bromo,Rp 1.200.000,4.3,4.8,4.7,4.5,4.4,4.5
T004,Chatuchak Market,Rp 900.000,4.0,4.2,4.1,4.3,4.2,4.1
T005,Mariana Bay Sands,Rp 3.000.000,4.6,4.9,4.8,4.7,4.6,4.8
T006,Kyoto Temple,Rp 2.250.000,4.4,4.5,4.9,4.9,4.7,4.9
T007,Raja Ampat Islands,Rp 3.750.000,3.9,4.9,4.8,4.9,4.9,4.9
T008,Sentosa Island,Rp 2.700.000,4.5,4.8,4.6,4.6,4.8,4.7
T009,Langkawi Sky Bridge 9,Rp 1.145.762,4.5,4.0,4.3,4.0,4.4,4.6
T010,Mount Fuji Park 10,Rp 3.646.787,4.1,4.9,4.8,4.6,4.1,4.3
T011,Nusa Penida Beach 11,Rp 766.259,4.9,4.8,3.6,4.4,4.3,3.7
T012,Gili Islands 12,Rp 2.582.574,3.9,4.6,4.2,4.9,4.0,4.1
T013,Jeju Island 13,Rp 1.994.437,4.8,3.7,3.6,3.8,4.7,3.9
T014,Bromo View Point 14,Rp 4.186.556,3.9,3.7,4.3,3.7,4.4,4.4
T015,Bali Swing 15,Rp 3.865.626,4.7,4.6,4.6,4.6,3.6,5.0
T016,Jeju Island 16,Rp 4.991.925,4.3,4.8,4.4,4.5,4.0,4.2
T017,Komodo National Park 17,Rp 1.337.321,3.7,4.7,3.8,4.8,4.3,4.3
T018,Ha Long Bay 18,Rp 1.571.987,4.1,4.1,3.5,4.7,4.2,4.9
T019,Bali Swing 19,Rp 1.592.396,4.1,3.7,4.0,4.4,3.6,4.7
T020,Tokyo Tower 20,Rp 1.411.654,4.1,4.0,4.3,3.6,3.5,4.0
T021,Bangkok Night Market 21,Rp 1.847.789,4.7,4.8,4.6,4.6,3.7,3.8
T022,Gili Islands 22,Rp 1.144.655,4.0,4.6,4.5,4.8,4.5,3.8
T023,Lake Toba Resort 23,Rp 1.302.980,4.2,4.4,4.6,3.9,4.6,3.6
T024,Phuket Beach 24,Rp 3.050.913,4.9,4.2,4.8,4.9,3.8,4.1
T025,Ha Long Bay 25,Rp 1.662.438,4.3,4.3,4.3,4.7,3.9,4.3
T026,Nusa Penida Beach 26,Rp 3.228.352,4.7,3.6,4.2,4.8,4.9,3.6
T027,Gardens by The Bay 27,Rp 2.226.000,4.6,3.7,4.8,3.6,5.0,4.0
T028,Grand Canyon Trail 28,Rp 2.760.646,3.5,4.5,4.2,4.1,3.7,3.9
T029,Gili Islands 29,Rp 1.890.941,5.0,4.7,4.5,4.2,4.1,4.6
T030,Angkor Wat Temple 30,Rp 1.470.516,4.1,4.6,4.3,4.6,5.0,4.4
T031,Grand Canyon Trail 31,Rp 1.535.457,4.5,4.7,3.9,4.4,4.0,5.0
T032,Singapore Flyer 32,Rp 1.678.751,4.7,4.7,4.8,4.6,3.6,4.8
T033,Nusa Penida Beach 33,Rp 3.831.555,4.7,4.6,4.2,4.1,4.3,4.5
T034,Singapore Flyer 34,Rp 2.040.456,4.1,4.2,4.9,4.4,4.2,3.8
T035,Lake Toba Resort 35,Rp 2.720.028,4.2,3.9,4.1,4.3,3.7,3.8
T036,Jeju Island 36,Rp 4.988.594,4.5,3.6,3.9,3.8,4.5,4.0
T037,Mount Fuji Park 37,Rp 1.948.837,4.8,4.1,4.5,4.4,3.5,4.3
T038,Angkor Wat Temple 38,Rp 2.114.033,4.7,3.9,3.7,4.8,4.7,4.0
T039,Bali Swing 39,Rp 3.607.695,5.0,4.8,3.9,4.4,4.0,3.7
T040,Jeju Island 40,Rp 999.955,4.9,4.3,5.0,4.1,3.6,4.9
T041,Bromo View Point 41,Rp 2.082.577,4.8,3.8,3.7,3.6,3.7,4.6
T042,Phuket Beach 42,Rp 4.526.860,4.4,4.0,3.5,4.7,4.4,3.6
T043,Langkawi Sky Bridge 43,Rp 1.464.905,4.0,4.9,4.9,4.7,4.7,4.2
T044,Gardens by The Bay 44,Rp 2.316.967,3.7,4.8,4.8,3.8,4.3,4.2
T045,Bangkok Night Market 45,Rp 826.706,4.3,4.9,3.6,4.1,4.3,4.0
T046,Gili Islands 46,Rp 1.331.744,5.0,4.8,3.7,4.4,4.6,4.2
T047,Komodo National Park 47,Rp 3.822.973,3.7,4.1,3.8,4.9,4.6,4.5
T048,Tokyo Tower 48,Rp 3.362.791,4.6,4.6,3.9,4.7,4.8,5.0
T049,Tokyo Tower 49,Rp 4.024.461,4.5,5.0,3.5,4.1,4.8,4.4
T050,Angkor Wat Temple 50,Rp 2.237.646,3.7,4.7,4.3,3.7,3.8,4.8
T051,Angkor Wat Temple 51,Rp 2.140.931,4.2,4.1,3.7,4.6,4.8,3.6
T052,Petronas Tower 52,Rp 3.879.697,3.8,4.7,3.9,4.1,4.8,4.0
T053,Jeju Island 53,Rp 1.876.525,4.9,4.8,4.5,4.7,4.9,4.9
T054,Langkawi Sky Bridge 54,Rp 3.171.994,4.8,4.7,4.0,4.6,4.9,4.8
T055,Petronas Tower 55,Rp 3.025.762,4.7,4.8,4.2,4.4,5.0,3.6
T056,Bali Swing 56,Rp 4.829.557,4.0,4.7,4.5,4.1,3.9,3.7
T057,Bangkok Night Market 57,Rp 1.501.867,4.0,4.1,4.9,4.5,4.7,3.7
T058,Bali Swing 58,Rp 1.926.499,3.8,4.3,4.5,3.7,4.1,4.3
T059,Eiffel Garden 59,Rp 4.136.169,4.2,3.8,4.4,3.9,4.7,4.5
T060,Ubud Rice Terrace 60,Rp 1.823.714,4.4,4.2,3.6,3.7,3.7,3.6
T061,Ubud Rice Terrace 61,Rp 3.389.595,4.9,4.1,3.6,4.2,4.6,4.6
T062,Lake Toba Resort 62,Rp 2.285.526,4.7,4.5,4.5,4.8,4.5,4.2
T063,Gardens by The Bay 63,Rp 3.571.000,4.9,4.8,4.1,4.5,4.3,3.6
T064,Ubud Rice Terrace 64,Rp 4.658.143,4.0,4.2,5.0,4.3,4.3,3.6
T065,Bali Swing 65,Rp 1.429.850,4.4,4.9,4.2,4.4,4.7,3.9
T066,Nusa Penida Beach 66,Rp 3.673.194,3.7,4.7,4.8,4.7,3.5,4.9
T067,Angkor Wat Temple 67,Rp 4.036.757,4.0,5.0,3.9,4.1,3.5,4.3
T068,Nusa Penida Beach 68,Rp 1.917.890,5.0,4.6,4.3,4.5,3.6,3.6
T069,Gili Islands 69,Rp 4.459.614,3.6,4.9,4.7,4.2,5.0,4.6
T070,Tokyo Tower 70,Rp 4.042.396,3.8,4.1,4.2,3.6,4.4,4.7
T071,Ubud Rice Terrace 71,Rp 2.476.273,4.3,5.0,3.5,4.1,4.8,4.8
T072,Bromo View Point 72,Rp 4.319.421,4.8,4.6,4.5,4.7,4.4,5.0
T073,Singapore Flyer 73,Rp 1.567.130,3.9,4.1,4.1,4.1,3.8,3.7
T074,Bromo View Point 74,Rp 2.621.361,4.7,4.6,5.0,4.8,4.1,4.9
T075,Gili Islands 75,Rp 2.975.621,4.0,4.1,3.6,4.1,4.6,3.7
T076,Komodo National Park 76,Rp 3.048.787,3.8,3.6,4.8,4.6,4.9,4.5
T077,Grand Canyon Trail 77,Rp 2.813.976,3.7,3.8,3.7,4.8,3.8,4.9
T078,Ha Long Bay 78,Rp 2.790.262,4.0,3.6,3.7,4.7,4.0,4.0
T079,Singapore Flyer 79,Rp 2.818.854,4.2,4.5,4.1,4.3,3.9,4.7
T080,Eiffel Garden 80,Rp 3.769.804,4.3,4.9,4.4,4.3,4.9,4.1
T081,Petronas Tower 81,Rp 3.490.736,5.0,4.0,4.0,4.7,3.9,4.1
T082,Grand Canyon Trail 82,Rp 2.537.275,4.4,5.0,4.5,4.8,3.6,3.7
T083,Bromo View Point 83,Rp 4.654.541,4.8,4.5,4.3,4.8,3.8,3.7
T084,Angkor Wat Temple 84,Rp 4.222.195,4.6,4.2,3.7,4.5,4.2,4.6
T085,Ha Long Bay 85,Rp 3.019.607,4.1,4.5,3.6,4.7,4.3,4.9
T086,Bali Swing 86,Rp 959.519,4.5,3.7,4.5,4.8,4.8,4.7
T087,Komodo National Park 87,Rp 4.650.744,4.8,4.4,3.6,4.0,4.8,3.5
T088,Ha Long Bay 88,Rp 2.247.270,4.4,4.3,4.6,4.8,4.6,4.6
T089,Nusa Penida Beach 89,Rp 3.651.376,4.9,3.8,3.7,4.6,3.6,4.3
T090,Mount Fuji Park 90,Rp 4.572.257,4.2,4.7,4.7,4.5,3.8,4.4
T091,Nusa Penida Beach 91,Rp 1.714.930,4.9,3.8,4.8,4.6,3.7,3.8
T092,Angkor Wat Temple 92,Rp 3.139.785,4.4,3.6,4.8,4.7,3.8,3.7
T093,Bromo View Point 93,Rp 2.758.262,4.6,4.4,4.3,4.4,4.2,3.7
T094,Bali Swing 94,Rp 1.127.738,4.6,4.0,3.9,4.0,4.3,3.9
T095,Tokyo Tower 95,Rp 939.767,4.8,3.8,3.6,3.6,4.6,3.8
T096,Komodo National Park 96,Rp 1.138.338,4.5,3.8,3.8,4.1,3.9,3.9
T097,Nusa Penida Beach 97,Rp 2.829.127,5.0,4.6,3.9,4.6,4.7,4.8
T098,Bangkok Night Market 98,Rp 984.014,3.6,3.7,4.0,4.4,4.7,3.9
T099,Bangkok Night Market 99,Rp 2.072.521,4.3,4.5,4.3,4.8,4.0,3.8
T100,Gardens by The Bay 100,Rp 2.260.905,3.8,4.1,4.6,4.6,4.6,3.6
T101,Petronas Tower 101,Rp 1.565.702,4.4,3.8,3.6,3.7,4.0,3.6
T102,Singapore Flyer 102,Rp 1.944.011,3.7,4.3,4.9,4.3,3.9,4.2
T103,Phuket Beach 103,Rp 2.743.245,4.8,4.3,4.4,3.6,4.9,4.6
T104,Bangkok Night Market 104,Rp 2.373.991,4.9,3.8,4.6,3.6,4.8,3.7
T105,Bromo View Point 105,Rp 2.023.031,4.7,4.8,3.8,4.8,4.1,3.7
T106,Gardens by The Bay 106,Rp 2.716.290,3.9,4.4,3.9,3.7,4.8,3.7
T107,Gili Islands 107,Rp 3.559.496,4.9,4.1,4.6,3.8,4.4,4.1
T108,Ha Long Bay 108,Rp 3.482.932,3.7,3.9,5.0,3.9,3.5,4.4
T109,Petronas Tower 109,Rp 1.789.415,3.8,4.6,3.9,4.9,3.8,3.9
T110,Jeju Island 110,Rp 3.547.615,4.9,4.0,4.5,4.4,4.9,4.3
T111,Bromo View Point 111,Rp 2.002.226,4.6,4.3,4.3,3.7,3.8,4.9
T112,Bali Swing 112,Rp 3.804.611,4.0,4.7,3.9,3.8,4.6,4.0
T113,Gili Islands 113,Rp 4.415.726,4.1,4.8,4.9,3.6,4.7,4.3
T114,Gardens by The Bay 114,Rp 2.239.801,3.9,3.7,4.8,3.7,4.7,3.9
T115,Ha Long Bay 115,Rp 4.442.988,4.4,3.6,4.4,4.2,4.1,4.5
T116,Mount Fuji Park 116,Rp 2.730.726,4.6,4.8,4.0,4.8,4.1,4.0
T117,Bali Swing 117,Rp 1.067.671,4.0,4.8,4.6,4.9,3.6,4.7
T118,Singapore Flyer 118,Rp 2.395.569,4.7,3.7,4.8,4.0,4.2,4.8
T119,Komodo National Park 119,Rp 3.087.102,4.8,3.9,4.0,4.2,4.7,5.0
T120,Bali Swing 120,Rp 1.531.493,4.5,4.4,3.7,4.8,4.1,3.7
T121,Mount Fuji Park 121,Rp 4.163.729,4.2,4.5,4.6,3.8,3.9,4.7
T122,Grand Canyon Trail 122,Rp 887.988,4.9,5.0,4.1,3.8,4.1,3.6
T123,Gardens by The Bay 123,Rp 3.639.648,4.2,5.0,3.7,3.6,3.6,4.9
T124,Jeju Island 124,Rp 3.646.160,4.9,4.1,4.9,4.1,4.7,4.5
T125,Eiffel Garden 125,Rp 3.128.693,3.5,4.8,5.0,3.8,4.3,4.5
T126,Grand Canyon Trail 126,Rp 1.848.441,4.9,4.8,3.6,4.4,4.4,3.8
T127,Singapore Flyer 127,Rp 1.750.249,4.3,3.9,4.1,4.5,3.8,4.1
T128,Petronas Tower 128,Rp 4.174.768,4.8,4.1,4.6,4.3,4.2,3.7
T129,Nusa Penida Beach 129,Rp 4.269.917,4.2,4.1,4.5,3.7,4.3,4.6
T130,Bangkok Night Market 130,Rp 3.932.647,4.9,4.4,4.9,4.6,3.5,4.0
T131,Eiffel Garden 131,Rp 1.841.102,3.6,3.5,4.1,4.6,3.8,4.1
T132,Bali Swing 132,Rp 1.269.020,4.5,4.0,4.7,3.6,4.6,4.7
T133,Ubud Rice Terrace 133,Rp 4.782.221,4.1,3.9,4.7,4.0,4.4,3.8
T134,Langkawi Sky Bridge 134,Rp 1.440.002,4.7,3.8,3.9,3.5,3.7,4.7
T135,Singapore Flyer 135,Rp 2.179.026,4.2,4.3,4.5,4.1,4.1,3.7
T136,Grand Canyon Trail 136,Rp 4.689.864,4.5,5.0,4.2,4.0,4.3,4.2
T137,Petronas Tower 137,Rp 2.517.375,4.6,4.9,3.9,4.3,4.8,5.0
T138,Bromo View Point 138,Rp 2.451.453,3.5,4.8,4.8,4.4,4.3,3.9
T139,Komodo National Park 139,Rp 3.692.575,3.5,4.2,3.6,5.0,4.0,4.7
T140,Nusa Penida Beach 140,Rp 4.768.697,4.2,4.8,3.7,4.6,4.3,4.2
T141,Ha Long Bay 141,Rp 1.570.087,4.0,3.8,4.3,4.3,4.4,4.6
T142,Bangkok Night Market 142,Rp 1.326.980,4.5,4.6,3.6,3.9,4.8,4.1
T143,Ubud Rice Terrace 143,Rp 756.174,3.9,3.7,4.8,3.7,4.0,4.1
T144,Gili Islands 144,Rp 1.542.775,4.7,3.5,4.4,5.0,3.8,4.7
T145,Phuket Beach 145,Rp 1.044.454,4.5,4.9,4.2,4.7,4.7,3.6
T146,Jeju Island 146,Rp 4.358.526,4.1,4.2,3.5,4.9,3.6,4.4
T147,Mount Fuji Park 147,Rp 4.778.963,3.9,3.6,3.8,3.9,4.8,4.8
T148,Mount Fuji Park 148,Rp 1.398.234,4.5,4.6,4.5,3.7,4.6,4.6
T149,Bromo View Point 149,Rp 2.481.640,4.1,3.7,3.9,4.3,4.2,4.7
T150,Petronas Tower 150,Rp 3.879.658,4.7,4.8,4.9,4.9,5.0,3.6
T151,Ubud Rice Terrace 151,Rp 4.528.049,3.8,3.7,4.3,4.8,4.8,3.8
T152,Nusa Penida Beach 152,Rp 4.287.028,4.3,4.5,3.7,4.3,4.4,3.6
T153,Mount Fuji Park 153,Rp 4.651.393,5.0,5.0,3.5,4.7,3.8,4.6
T154,Bangkok Night Market 154,Rp 2.153.042,3.9,4.6,5.0,3.7,4.4,3.8
T155,Grand Canyon Trail 155,Rp 3.618.156,4.6,3.8,4.1,4.2,4.2,3.6
T156,Bali Swing 156,Rp 4.544.187,4.2,4.2,3.9,4.8,3.9,4.2
T157,Gili Islands 157,Rp 1.500.529,4.4,4.3,4.5,3.8,3.9,3.8
T158,Singapore Flyer 158,Rp 3.692.007,4.1,3.6,4.7,4.6,3.7,4.7
T159,Nusa Penida Beach 159,Rp 952.273,3.7,3.5,4.8,3.9,4.7,4.7
T160,Langkawi Sky Bridge 160,Rp 4.534.495,4.2,4.8,3.6,4.4,4.2,4.5
T161,Singapore Flyer 161,Rp 2.358.650,4.8,4.2,3.5,4.2,4.1,4.5
T162,Bangkok Night Market 162,Rp 4.183.904,4.1,4.1,4.0,4.3,4.8,3.9
T163,Bangkok Night Market 163,Rp 4.870.016,4.3,3.6,3.6,4.8,4.7,4.2
T164,Jeju Island 164,Rp 4.627.432,4.5,4.3,4.9,4.4,3.6,3.6
T165,Ubud Rice Terrace 165,Rp 4.716.485,3.6,4.0,3.8,4.7,4.6,3.8
T166,Lake Toba Resort 166,Rp 2.281.965,4.9,3.7,3.7,4.4,4.0,3.9
T167,Ha Long Bay 167,Rp 2.399.657,4.4,3.7,4.4,3.5,4.6,4.8
T168,Mount Fuji Park 168,Rp 1.641.014,4.6,4.0,4.2,4.3,4.7,3.8
T169,Ha Long Bay 169,Rp 2.175.411,3.8,4.3,4.1,4.8,4.8,4.1
T170,Gili Islands 170,Rp 1.242.910,4.8,3.7,4.9,4.4,3.9,4.3
T171,Tokyo Tower 171,Rp 2.490.264,3.7,3.8,4.9,4.6,4.9,5.0
T172,Bali Swing 172,Rp 4.985.305,4.0,3.6,4.9,4.8,4.9,3.9
T173,Eiffel Garden 173,Rp 4.157.240,4.4,4.1,4.6,4.8,4.4,4.3
T174,Singapore Flyer 174,Rp 1.199.892,5.0,4.2,4.4,4.1,4.3,4.4
T175,Phuket Beach 175,Rp 1.316.438,5.0,4.5,4.9,4.8,3.6,4.2
T176,Bromo View Point 176,Rp 1.875.986,3.9,4.6,4.7,3.9,4.1,3.6
T177,Petronas Tower 177,Rp 1.304.309,3.5,4.1,4.5,4.6,3.7,3.6
T178,Komodo National Park 178,Rp 4.413.450,4.0,3.5,4.7,4.2,4.1,5.0
T179,Gili Islands 179,Rp 1.001.593,4.3,3.6,5.0,4.9,3.9,4.1
T180,Ha Long Bay 180,Rp 1.430.114,4.4,4.9,4.1,4.1,4.2,4.5
T181,Gili Islands 181,Rp 3.317.038,4.4,3.8,3.8,4.4,3.8,3.6
T182,Jeju Island 182,Rp 4.117.819,4.8,3.7,4.4,4.7,3.9,4.4
T183,Ha Long Bay 183,Rp 4.233.304,3.9,4.5,3.9,4.0,3.5,5.0
T184,Angkor Wat Temple 184,Rp 1.654.031,3.7,4.5,4.5,3.8,4.7,3.9
T185,Ubud Rice Terrace 185,Rp 4.184.887,4.6,4.4,4.7,4.7,4.4,3.9
T186,Bromo View Point 186,Rp 3.376.280,3.7,4.8,4.5,4.6,3.7,4.6
T187,Phuket Beach 187,Rp 2.743.034,4.9,3.9,3.9,3.9,4.1,4.5
T188,Bangkok Night Market 188,Rp 4.559.680,3.5,3.7,3.7,3.6,4.8,4.3
T189,Ubud Rice Terrace 189,Rp 4.710.969,4.1,4.1,4.8,4.1,4.5,4.1
T190,Petronas Tower 190,Rp 2.115.321,3.8,4.5,4.9,4.8,4.3,4.2
T191,Mount Fuji Park 191,Rp 1.423.245,4.3,3.6,4.0,4.5,5.0,3.9
T192,Gili Islands 192,Rp 2.895.952,3.8,4.8,4.0,4.9,3.6,3.6
T193,Mount Fuji Park 193,Rp 4.124.824,4.0,3.6,3.8,5.0,3.7,4.0
T194,Grand Canyon Trail 194,Rp 4.644.760,3.7,3.7,4.9,3.5,4.9,3.6
T195,Gardens by The Bay 195,Rp 2.457.132,4.3,4.5,4.2,4.3,4.2,4.1
T196,Eiffel Garden 196,Rp 3.044.389,3.7,3.8,3.8,3.7,4.8,3.9
T197,Mount Fuji Park 197,Rp 4.823.587,3.5,4.4,4.3,4.6,3.7,4.2
T198,Bangkok Night Market 198,Rp 943.289,4.5,4.5,3.9,3.9,3.8,3.8
T199,Angkor Wat Temple 199,Rp 3.898.880,5.0,4.2,4.2,3.5,3.7,4.9
T200,Tokyo Tower 200,Rp 2.390.199,4.8,4.6,4.6,4.2,4.5,4.2
T201,Lake Toba Resort 201,Rp 2.748.918,4.0,4.8,3.6,4.5,4.3,5.0
T202,Gardens by The Bay 202,Rp 1.558.828,4.6,4.1,3.6,4.9,4.8,4.9
T203,Lake Toba Resort 203,Rp 4.254.858,3.5,3.8,4.9,3.6,3.9,3.9
T204,Gardens by The Bay 204,Rp 2.913.601,4.5,3.5,4.0,4.3,3.7,4.8
T205,Mount Fuji Park 205,Rp 2.677.614,3.6,4.2,4.8,4.7,3.7,3.8
T206,Phuket Beach 206,Rp 4.943.569,4.4,4.9,3.5,3.6,4.6,5.0
T207,Nusa Penida Beach 207,Rp 1.750.716,3.7,3.9,4.0,3.8,5.0,4.5
T208,Ubud Rice Terrace 208,Rp 3.704.690,3.5,4.2,4.2,3.7,3.8,3.8
T209,Phuket Beach 209,Rp 4.844.520,4.9,4.2,4.4,3.9,4.2,3.8
T210,Petronas Tower 210,Rp 3.711.208,5.0,3.8,4.8,3.9,4.8,4.3
T211,Nusa Penida Beach 211,Rp 3.524.855,4.3,3.7,4.3,3.8,4.2,3.7
T212,Langkawi Sky Bridge 212,Rp 1.778.160,4.5,4.8,4.0,3.7,4.5,3.9
T213,Eiffel Garden 213,Rp 4.543.664,4.3,5.0,3.8,3.7,5.0,4.3
T214,Singapore Flyer 214,Rp 2.883.746,3.9,4.8,4.7,4.8,4.9,4.8
T215,Tokyo Tower 215,Rp 3.736.510,4.2,4.6,4.8,4.4,4.3,3.9
T216,Bromo View Point 216,Rp 4.766.715,3.6,4.9,4.8,3.8,4.3,4.2
T217,Angkor Wat Temple 217,Rp 1.020.380,4.6,4.0,4.1,4.7,3.7,3.9
T218,Lake Toba Resort 218,Rp 2.423.054,4.1,4.1,3.8,4.1,3.7,4.3
T219,Komodo National Park 219,Rp 2.901.955,4.1,3.9,4.9,4.0,4.8,4.6
T220,Gili Islands 220,Rp 1.001.956,4.1,4.4,4.3,4.5,3.9,4.4
T221,Nusa Penida Beach 221,Rp 4.587.351,4.2,3.7,4.3,4.2,4.4,3.9
T222,Lake Toba Resort 222,Rp 2.924.703,4.0,4.3,4.0,4.5,4.4,4.7
T223,Gardens by The Bay 223,Rp 4.627.752,4.1,4.2,3.7,5.0,3.8,4.7
T224,Bali Swing 224,Rp 4.991.545,4.1,4.3,3.5,4.1,3.8,4.5
T225,Phuket Beach 225,Rp 2.802.635,4.3,4.0,3.8,3.8,4.8,4.1
T226,Eiffel Garden 226,Rp 2.476.208,3.7,3.7,4.4,4.5,4.4,5.0
T227,Singapore Flyer 227,Rp 3.595.579,3.9,4.3,4.2,3.9,4.3,4.3
T228,Gardens by The Bay 228,Rp 1.943.707,4.2,5.0,4.3,4.2,3.6,4.1
T229,Grand Canyon Trail 229,Rp 2.002.953,4.7,4.9,4.6,3.8,4.0,4.9
T230,Nusa Penida Beach 230,Rp 883.851,4.7,4.7,3.5,4.1,4.3,4.2
T231,Eiffel Garden 231,Rp 4.380.656,4.8,4.3,5.0,3.6,4.3,3.8
T232,Jeju Island 232,Rp 1.106.703,3.6,4.4,4.0,3.7,4.6,4.5
T233,Gardens by The Bay 233,Rp 3.600.559,4.2,5.0,4.6,3.6,4.9,4.9
T234,Bangkok Night Market 234,Rp 719.885,3.6,4.7,3.9,4.6,3.5,4.2
T235,Ubud Rice Terrace 235,Rp 4.956.236,3.8,3.9,4.5,4.1,4.8,4.6
T236,Grand Canyon Trail 236,Rp 3.835.418,4.7,4.3,4.4,4.1,4.9,3.7
T237,Komodo National Park 237,Rp 4.442.338,3.6,4.3,4.9,4.0,4.8,4.4
T238,Gili Islands 238,Rp 4.441.798,4.7,4.9,3.6,4.3,4.0,3.9
T239,Gili Islands 239,Rp 2.113.026,3.6,4.8,3.5,3.6,4.6,4.4
T240,Angkor Wat Temple 240,Rp 4.613.178,3.6,4.1,4.9,4.9,3.7,4.8
T241,Bali Swing 241,Rp 1.413.153,4.9,4.2,3.6,4.2,3.9,4.6
T242,Bangkok Night Market 242,Rp 4.774.606,5.0,4.5,4.6,3.8,4.3,4.7
T243,Grand Canyon Trail 243,Rp 3.450.763,4.3,3.8,4.8,4.0,4.6,4.4
T244,Bangkok Night Market 244,Rp 981.977,4.1,3.8,3.8,3.5,4.4,4.3
T245,Langkawi Sky Bridge 245,Rp 1.493.929,4.4,3.7,4.2,3.7,4.5,4.5
T246,Tokyo Tower 246,Rp 3.869.096,3.8,4.6,3.7,4.3,3.7,4.9
T247,Angkor Wat Temple 247,Rp 4.374.758,3.6,4.0,4.0,4.9,3.7,3.7
T248,Grand Canyon Trail 248,Rp 4.238.115,4.8,3.8,3.7,4.7,4.6,3.6
T249,Langkawi Sky Bridge 249,Rp 2.361.631,4.5,4.3,4.4,3.6,4.7,3.8
T250,Lake Toba Resort 250,Rp 1.028.335,4.2,3.8,4.3,4.0,4.4,4.8
